"4 J & L PARTNERS, LTD",,
Trial Balance,,
"As of Dec 31, 2025",,

Full name,Debit,Credit
Cash:PNC Bank:Account-9814,,0.00
Cash:PNC Bank:Account-9822,,0.00
Cash:PNC Bank:Savings-PNC,,0.00
Cash:Savings Accounts:Simmons Bank mm--5718,,"4,871.13"
Accounts Receivable,,0.00
4302 Westheimer escrows:Insurance,"156,524.61",
4302 Westheimer escrows:Property Taxes,"265,787.98",
4302 Westheimer escrows:Replenishment reserve,,0.00
Accrued Interest Receivable-LJC,"55,995.29",
Due (To) From:Cohen Retail Stores,"562,022.69",
Due (To) From:Jerry Cohen,"11,950.00",
Due (To) From:LJC Financial,"3,333,146.60",
Due (To) From:The PRC revocable trust,,495.00
Due (To) From:Title Company,557.76,
Prepaid Commissions Expense,,0.00
Undeposited Funds,,0.00
Building-4302 Westheimer,"659,564.66",
Building-4302 Westheimer:Accumulated Depreciation,,"664,057.00"
Building-4302 Westheimer:Parking carousel:Architect,"4,492.34",
Furniture and Equipment:Office Equipment,,0.00
Land-4302 Westheimer,,0.00
Leasehold Improvements,,0.00
Software,,0.00
JP Morgan-1/21/15:Accumulated Amortization,,0.00
Loan Fee-GE Capital,"41,740.85",
Loan Fee-GE Capital:Accumulated Amortization,,"41,740.85"
Loan fee-JP Morgan,,0.00
Organization Costs,770.00,
Organization Costs:Accumulated Amortization-Organi,,770.00
Accounts Payable,,0.00
Notes Payable:PNC Real Estate,,0.00
Opening Bal Equity,,0.00
Partner 1 Draws,"624,662.58",
Retained Earnings,,"4,811,377.17"
Shareholder Draw,"104,000.00",
Money Market Interest:SOTB mm,,164.46
Rental Income:Early lease termination fee,,"350,000.00"
Bank Service Charges,836.26,
Insurance Expense,"5,903.21",
Insurance Expense:Businessowners,"5,903.21",
Ask My Accountant,"39,617.57",
TOTAL,"$5,873,475.61","$5,873,475.61"



"Cash Basis Saturday, June 27, 2026 10:27 PM GMTZ",,
