Graceful Meadows Assisted Living LLC,,
Trial Balance,,
"As of Dec 31, 2025",,

Full name,Debit,Credit
Ckg account Graceful Meadows,,8.74
Payments to deposit,,0.00
Prepaid expenses,"7,500.00",
QuickBooks Tax Holding Account,,0.00
Uncategorized Asset,,0.00
Buildings,"35,346.51",
Furniture & fixtures,"17,289.87",
VISA Graceful Meadows,,"30,874.90"
Direct Deposit Payable,,0.00
Payroll Liabilities,,276.22
Payroll Liabilities:Federal Taxes (941/943/944),"1,212.92",
Payroll Liabilities:Federal Unemployment (940),287.82,
Payroll Liabilities:TX Unemployment Tax,740.59,
Long-term loans from shareholders,,"380,933.58"
Retained Earnings,"173,856.37",
Services,,"51,363.00"
Unapplied Cash Payment Income,,
Uncategorized Income,,
Advertising & marketing,"1,543.35",
Bank fees & service charges,"1,266.39",
Dues & Subscriptions,"2,246.31",
Interest expense,"5,789.55",
Legal & accounting services,"5,148.32",
Management Fee,"6,255.00",
Office expenses,"1,123.98",
Outside services,"30,525.69",
Payroll expenses,,997.15
Referral Fees,"1,875.00",
Repairs & maintenance,"19,400.89",
Repairs & maintenance:Facility maintenance,"2,944.65",
Repairs & maintenance:Landscaping,"7,269.31",
Repairs & maintenance:Plumbing,"1,450.00",
Resident food service,"4,328.61",
Supplies,898.95,
Taxes:Business licenses,987.07,
Taxes:Payroll Taxes,"22,098.42",
Taxes:Property taxes,"14,826.12",
Utilities,"2,050.22",
Utilities:Disposal & waste fees,163.14,
Utilities:Electricity,"7,375.51",
Utilities:Fire suppression system,"11,367.04",
Utilities:Internet & TV services,"2,372.05",
Utilities:Phone service,280.69,
Utilities:Security System,"1,522.75",
Wages,"73,475.73",
Interest earned,,0.23
Late Fee Income,,365.00
TOTAL,"$464,818.82","$464,818.82"



"Cash Basis Saturday, June 27, 2026 10:32 PM GMTZ",,
