OMC Housing LLC,,
Trial Balance,,
"As of Dec 31, 2025",,

Full name,Debit,Credit
Cash:Checking at b1BANK,69.21,
Cash:Simmons Bank-ckg 7036,"1,463.62",
Accounts Receivable,"12,952.35",
Due from (to):Bank,,0.00
Due from (to):Borrower,647.60,
Due from (to):LJC Financial,"22,496.91",
Due from (to):The PRC Trust,,"9,000.00"
Due from (to):Westside Realty,"1,070.62",
LJC Financial,,0.00
Notes Receivable:Lending:b1 Bank,,0.00
Notes Receivable:Lending:b1 Bank:17219 Artwood-Sweet Tooth,"150,000.00",
Notes Receivable:Lending:Dr Roffe,"25,000.00",
Notes Receivable:Lending:Fountain Grass RV Park,,0.00
Notes Receivable:Lending:Simmons Bank,"479,000.00",
Notes Receivable:Lending:Simmons Bank:1022 Randolph-Consulting Direct,,0.00
Undeposited Funds,,0.00
Real Estate owned:1022 Randolph,,0.00
Real Estate owned:3610 Crane A & B,"115,000.00",
Real Estate owned:7001 W. Knoll,"55,000.00",
Chase card-6508,"1,763.69",
Deposits and Holdbacks:Lending:1022 Randolph - Trust Account,0.03,
Deposits and Holdbacks:Lending:1022 Randolph-Consulting Direct,50.00,
Deposits and Holdbacks:Lending:3406 Ave A-AlberNeal Properties,,"19,050.00"
Deposits and Holdbacks:Lending:Simmons Bank,,"27,750.00"
Deposits and Holdbacks:Real estate owned:123 Bayou Glen rehab holdback,"27,750.00",
Deposits and Holdbacks:Real estate owned:3610 Crane Deposits:3610 1/2 Crane 3,,797.00
Deposits and Holdbacks:Real estate owned:3610 Crane Deposits:3610 Crane 3,,500.00
Notes Payable:b1 Bank WLOC,,"135,000.00"
Notes Payable:Simmons Bank - WLOC,,"401,323.65"
Real Estate notes payable:Wells Fargo - 3610 Crane A & B,,"128,317.71"
Contributions,,"8,365.00"
Draws,,"3,500.05"
Draws:Member draw - prior years,"23,128.09",
Draws:Members Draw - current year,"58,213.56",
Members Equity,,"173,636.69"
Opening Balance Equity,,"75,706.57"
Lending income:Interest Income,,"28,532.87"
Lending income:Late fees,,700.00
Rental Property Income,"6,135.02",
Rental Property Income:3610 Crane,,"59,756.20"
Rental Property Income:7001 W. Knoll,,"11,400.00"
Rental Property Income:Gain on sale of REO:1022 Randolph,,"116,868.36"
Automobile Expense,"10,623.55",
Bank Service Charges,720.00,
Bank Service Charges:Chase ACH Payments monthly fee,"1,726.43",
Bank Service Charges:Monthly service fee,633.57,
Bank Service Charges:Wire fees,,35.00
Computer and Internet Expenses,111.35,
Donations,"7,636.00",
Dues and Subscriptions,99.00,
Lending expenses:Bank expenses:Interest Expense,"1,059.22",
Lending expenses:Bank expenses:Interest Expense:b1 Bank,"6,987.19",
Lending expenses:Bank expenses:Interest Expense:Simmons Bank WLOC,"82,831.42",
Lending expenses:Bank expenses:Simmons Bank fees and costs,"5,947.90",
Lending expenses:Bank expenses:Simmons Bank fees and costs:Other bank charges,"4,409.67",
Lending expenses:Bank Wire fees,20.00,
Lending expenses:Merchant deposit fees:ACH collection fees,5.00,
Lending expenses:Underwriting costs,,"1,487.04"
Lending expenses:Underwriting costs:Notary,,25.00
Office Supplies,979.77,
Rental Property expenses:Insurance Expense,"9,691.18",
Rental Property expenses:Insurance Expense:3610 Crane,"2,677.08",
Rental Property expenses:Insurance Expense:3610 Crane:3610 Crane-Flood,"2,092.00",
Rental Property expenses:Insurance Expense:7001 W Knoll,"1,126.38",
Rental Property expenses:Interest Expense:Real Estate owned,839.44,
Rental Property expenses:Interest Expense:Real Estate owned:Wells Fargo-3610 Crane A&B,"6,796.19",
Rental Property expenses:Property Management Fees:3610 Crane,"4,182.94",
Rental Property expenses:Property Management Fees:3610 Crane:Lease commissions-1st month,"3,466.00",
Rental Property expenses:Property Management Fees:7001 W.Knoll,798.00,
Rental Property expenses:Property Taxes:1022 Randolph,"6,056.78",
Rental Property expenses:Property Taxes:123 Bayou Glen,"24,382.88",
Rental Property expenses:Property Taxes:3610 Crane,"5,459.74",
Rental Property expenses:Property Taxes:7001 W. Knoll,"1,822.09",
Rental Property expenses:Property Taxes:Property Tax Consultant,42.89,
Rental Property expenses:Repairs and Maintenance,75.00,
Rental Property expenses:Repairs and Maintenance:3610 Crane,"8,608.58",
Rental Property expenses:Repairs and Maintenance:7001 W Knoll,"1,858.00",
Rental Property expenses:Utilities:3610 Crane:Electric,"7,278.34",
Rental Property expenses:Utilities:3610 Crane:Gas,"1,359.88",
Rental Property expenses:Utilities:3610 Crane:Water,"6,137.00",
Telephone Expense,"3,429.98",
Travel,40.00,
Misc Income,,
TOTAL,"$1,201,751.14","$1,201,751.14"



"Cash Basis Saturday, June 27, 2026 10:30 PM GMTZ",,
